handle,name,description,brand,category,basePrice,quantity,tags,coverImage,images,isReturnable,returnableDays,hasWarranty,warrantyYears,weight,status,variantName,variantPrice,variantQuantity,variantSku,variantTags,variantImages
eden-chrono-elite,Eden Chrono Elite,"Premium automatic chronograph with sapphire crystal and a 42mm brushed-steel case.",Eden,analog-watches,250000,12,best-seller|featured,https://images.unsplash.com/photo-1523275335684-37898b6baf30?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1533139502658-0198f920d8e8?q=80&w=600&auto=format&fit=crop,true,14,true,2,180g,active,Black / 42mm,250000,6,,new-arrival,
eden-chrono-elite,,,,,,,,,,,,,,,,Silver / 42mm,265000,6,,,
aero-stealth,Aero Stealth Black,"Rugged digital watch with backlight, stopwatch and 50m water resistance.",Aero,digital-watches,135000,20,trending,https://images.unsplash.com/photo-1542496658-e33a6d0d50f6?q=80&w=600&auto=format&fit=crop,,true,7,true,1,90g,active,,,,,,
vanguard-rose,Vanguard Rose Gold,"Luxury rose-gold dress watch with automatic movement and an Italian leather strap.",Vanguard,luxury-analog,520000,8,featured|limited-edition,https://images.unsplash.com/photo-1524592094714-0f0654e20314?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1495856458515-0637185db551?q=80&w=600&auto=format&fit=crop,true,30,true,5,150g,active,Rose Gold / Leather,520000,4,,,
vanguard-rose,,,,,,,,,,,,,,,,Rose Gold / Steel,560000,4,,,
legacy-leather,Legacy Leather Classic,"Minimalist everyday watch with a genuine tan leather strap.",Legacy,casual-analog,98000,30,on-sale,https://images.unsplash.com/photo-1614164185128-e4ec99c436d7?q=80&w=600&auto=format&fit=crop,,true,14,false,,120g,active,,,,,,
oceanic-diver,Oceanic Diver Pro,"Professional dive watch rated to 200m with a uni-directional rotating bezel.",Oceanic,analog-watches,310000,10,best-seller,https://images.unsplash.com/photo-1547996160-81dfa63595aa?q=80&w=600&auto=format&fit=crop,,true,30,true,3,210g,active,Blue / 44mm,310000,5,,,
oceanic-diver,,,,,,,,,,,,,,,,Black / 44mm,310000,5,,,
pulse-smart,Pulse Smart Series 5,"GPS smartwatch with heart-rate tracking, an AMOLED display and a 7-day battery.",Pulse,smart-watches,189000,40,new-arrival|trending,https://images.unsplash.com/photo-1539533018447-63fcce2678e3?q=80&w=600&auto=format&fit=crop,,true,14,true,1,60g,active,40mm / Midnight,189000,15,,,
pulse-smart,,,,,,,,,,,,,,,,44mm / Midnight,209000,15,,,
pulse-smart,,,,,,,,,,,,,,,,44mm / Silver,209000,10,,,
aero-polarized,Aero Polarized Aviator,"UV400 polarized aviators with a lightweight metal frame and spring hinges.",Aero,polarized-sunglasses,85000,25,best-seller,https://images.unsplash.com/photo-1572635196237-14b3f281503f?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1577803645773-f96470509666?q=80&w=600&auto=format&fit=crop,false,,false,,30g,active,Gold / Green,85000,12,,,
aero-polarized,,,,,,,,,,,,,,,,Silver / Grey,85000,13,,,
urban-classic,Urban Classic Wayfarer,"Timeless acetate wayfarer sunglasses for relaxed everyday wear.",Urban,non-polarized-sunglasses,42000,50,on-sale,https://images.unsplash.com/photo-1473496169904-658ba7c44d8a?q=80&w=600&auto=format&fit=crop,,false,,false,,28g,active,,,,,,
trailblazer-sport,Trailblazer Sport Wrap,"Impact-resistant wrap sunglasses with anti-fog lenses for cycling and running.",Trailblazer,sports-sunglasses,67000,35,trending,https://images.unsplash.com/photo-1511499767150-a48a237f0083?q=80&w=600&auto=format&fit=crop,,false,,true,1,26g,active,Matte Black,67000,20,,,
trailblazer-sport,,,,,,,,,,,,,,,,Neon Yellow,67000,15,,,
titanium-exec,Titanium Executive,"Featherweight titanium watch with an open skeleton dial.",Titanium,luxury-analog,720000,5,limited-edition,https://images.unsplash.com/photo-1434056886845-dac89ffe9b56?q=80&w=600&auto=format&fit=crop,,true,30,true,5,95g,drafted,,,,,,
